gpt-5.4,gpt-5.4-mini
"Habituation enables the brain to reduce responses to repeated, behaviorally irrelevant stimuli, yet the neuromodulatory mechanisms governing this process in human cortex remain poorly understood. Here, we investigated whether noradrenaline shapes habituation dynamics in the parietal cortex, a region central to attentional orienting and salience processing. Using a double-blind, placebo-controlled design, healthy adult participants underwent functional neuroimaging while viewing repeated sensory events under pharmacological manipulation of noradrenergic signaling. Across conditions, repeated stimulus presentation produced robust attenuation of parietal responses, consistent with habituation. Critically, altered noradrenergic tone significantly modulated both the magnitude and temporal profile of this attenuation: enhanced noradrenergic signaling reduced habituation and sustained parietal responsiveness over repeated exposures, whereas diminished noradrenergic signaling accelerated response decline. Functional connectivity analyses further revealed that these effects were accompanied by changes in coupling between parietal cortex and fronto-locus coeruleus-associated attentional networks, suggesting that noradrenaline regulates habituation by adjusting the gain of cortical salience representations. Behavioral measures mirrored these neural effects, with slower habituation associated with greater stimulus detectability and attentional capture. Together,","The lateral geniculate nucleus (LGN) is a key thalamic relay implicated in visual attention and memory-guided perception, yet its causal contribution to recall accuracy remains poorly understood. Here, we used real-time functional magnetic resonance imaging (rt-fMRI) neurofeedback to investigate whether volitional modulation of LGN activity can enhance subsequent memory performance. Healthy adult participants completed a closed-loop training protocol in which multivoxel LGN signals were decoded online and translated into moment-to-moment feedback during a visual encoding task. Across sessions, participants learned to increase LGN activation relative to control conditions, and this modulation was associated with improved recall accuracy for subsequently tested stimuli. Behavioral gains were accompanied by strengthened functional coupling between the LGN, occipital visual cortex, and frontoparietal regions involved in attentional control, suggesting that neurofeedback may facilitate memory by optimizing sensory gain and top-down selection during encoding. These findings provide evidence that the LGN is not merely a passive relay but a modifiable node within the memory-processing network. More broadly, the study demonstrates the potential of rt-fMRI to target subcortical circuits for cognitive enhancement and offers a mechanistic framework for leveraging thalamic modulation to improve recall."
"Accurate memory retrieval depends not only on cortical mnemonic networks but also on subcortical arousal systems that regulate encoding and retrieval fidelity. Here, we tested whether neurofeedback targeting brainstem activity can improve recall accuracy in healthy adults. In a randomized, sham-controlled design, participants completed multiple training sessions in which they received real-time feedback derived from brainstem signal fluctuations while engaging in memory tasks. Relative to sham feedback, active neurofeedback led to progressive increases in participants’ ability to modulate the targeted brainstem signal and produced significant improvements in delayed recall accuracy, with smaller effects on immediate recall and response speed. These behavioral gains were accompanied by enhanced functional coupling between the targeted brainstem region, hippocampus, and medial prefrontal cortex, suggesting that neurofeedback altered interactions between arousal and memory networks. Moreover, individual differences in successful brainstem regulation predicted the magnitude of recall improvement, indicating a dose-dependent relationship between neural self-regulation and behavioral benefit. Control analyses supported the anatomical specificity of the effect and reduced the likelihood that improvements were explained by nonspecific training, motivation, or task familiarity. Together, these findings provide evidence that brainstem-directed neurofeedback can enhance recall accuracy and highlight a causal contribution of brainstem mechanisms to human memory","Auditory stream segregation requires the brain to organize complex sound mixtures into distinct perceptual objects, yet the contribution of the cerebellum to this process remains poorly understood. Here, we used population receptive field (pRF) mapping to characterize the spatial tuning of cerebellar responses during an auditory stream segregation task. Participants listened to interleaved tone sequences while undergoing high-resolution fMRI, and perceived stream structure was manipulated by varying spectral separation and temporal regularity. We modeled voxel-wise responses with auditory pRFs defined over frequency and temporal modulation dimensions, allowing us to estimate the preferred tuning, bandwidth, and topographic organization of cerebellar activity. We found robust pRF-like responses in posterior cerebellar regions, with tuning profiles that were selectively enhanced during conditions eliciting stronger stream segregation. These responses were biased toward frequency combinations associated with the attended stream and showed narrower tuning when perceptual organization was more stable. In addition, cerebellar pRF estimates covaried with behavioral measures of segregation fidelity, suggesting that cerebellar representations track the perceptual parsing of auditory scenes. Together, these findings indicate that the cerebellum contains structured auditory representations that are dynamically modulated by stream segregation demands, supporting a role for cerebell"
"The supplementary motor area (SMA) is central to motor planning, sequencing, and internally generated action, yet its microstructural trajectory across the human lifespan remains poorly characterized. In this study, we examined age-related variation in SMA microstructure in a large lifespan cohort using multimodal magnetic resonance imaging sensitive to tissue composition and organization. Healthy participants spanning childhood to older adulthood underwent structural and diffusion-based imaging, from which indices of cortical microstructure, including mean diffusivity, fractional anisotropy, and complementary markers of neurite organization and tissue integrity, were derived for the SMA. Age effects were modeled using nonlinear lifespan trajectories, and associations with motor performance were assessed to evaluate functional relevance.

We observed robust, region-specific nonlinear changes in SMA microstructure across the lifespan. Early life was characterized by progressive maturation, reflected in reduced diffusivity and increased tissue organization through adolescence and early adulthood. Midlife showed relative stability, whereas older age was associated with declining microstructural integrity, including increased diffusivity and reduced anisotropy, consistent with age-related tissue degeneration. These effects were not uniform across the SMA, with evidence for differential trajectories in anterior and posterior subdivisions. Importantly, microstructural variation in the SMA was significantly associated with motor speed and","Repeated associative learning requires flexible updating of stimulus–response mappings and is thought to engage the temporoparietal junction (TPJ), a region implicated in attention reorienting and the integration of contextual information. Here, we tested whether TPJ activity shows neural adaptation across repeated demands for associative learning, consistent with reduced processing costs as task contingencies become familiar. Using functional MRI, participants completed a series of associative learning blocks in which novel cue–outcome pairings had to be acquired and applied across repeated trials, allowing us to examine within-task changes in both behavioral performance and BOLD responses. Behaviorally, learning was characterized by improved accuracy and faster responses over repetitions, indicating incremental stabilization of associations. Neurally, the TPJ exhibited robust activation during early learning, followed by a significant attenuation of response magnitude as associative demands were repeated. This adaptation effect was selective to TPJ and was not fully accounted for by global time-on-task effects, suggesting a regionally specific sensitivity to the diminishing need for attentional reorienting and contextual updating. Moreover, individual differences in the rate of behavioral improvement were positively associated with the magnitude of TPJ adaptation, linking neural efficiency to learning performance. These findings support the view that the TPJ dynamically"
"Associative memory depends on distributed cortical networks, yet the contribution of premotor cortex microstructure to individual differences in associative learning and retrieval remains poorly understood. In this study, we examined whether diffusion MRI markers of premotor cortex microstructure are associated with performance on an associative memory task in healthy adults. Participants underwent diffusion-weighted imaging and completed a behavioral paradigm assessing the encoding and retrieval of arbitrary stimulus associations. Microstructural properties of the dorsal and ventral premotor cortex were quantified using diffusion-derived indices sensitive to tissue organization, including fractional anisotropy, mean diffusivity, and complementary compartment-based measures. We then tested whether interindividual variation in these markers predicted associative memory accuracy and response efficiency, while controlling for age, sex, and whole-brain diffusion characteristics.

We found that premotor cortex microstructure was significantly related to associative memory performance, with more coherent and restricted diffusion profiles in premotor regions corresponding to better memory accuracy and faster retrieval. These effects were strongest in dorsal premotor cortex and were most pronounced for successful retrieval of recently encoded associations, suggesting a role for premotor circuitry in the formation and selection of learned stimulus–response mappings. Exploratory analyses further indicated that premotor microstructural measures explained unique variance beyond medial temporal l","Working memory capacity varies substantially across healthy young adults, yet the neurobiological substrates of this variability remain incompletely understood. Here, we investigated whether microstructural properties of the basal ganglia, indexed by structural fractional anisotropy (sFA), predict individual differences in working memory capacity. A cohort of young adults underwent diffusion MRI and a validated working memory assessment, enabling examination of associations between basal ganglia sFA and performance while controlling for relevant demographic and imaging covariates. Higher sFA within basal ganglia regions was significantly associated with greater working memory capacity, suggesting that more coherent microstructural organization in these subcortical circuits supports efficient maintenance and manipulation of information. Follow-up analyses indicated that this relationship was specific to basal ganglia tissue properties and was not accounted for by global white matter indices alone. These findings extend prior work emphasizing frontoparietal contributions to working memory by highlighting the importance of subcortical microstructure in cognitive capacity. Overall, the results suggest that basal ganglia structural integrity may serve as a neuroanatomical marker of individual differences in working memory among healthy young adults."
"Cognitive flexibility depends on the ability to shift between behavioral sets, yet the neural states that precede and predict successful set shifting remain poorly understood. In this study, we examined whether pre-trial activity in the perirhinal cortex carries information about upcoming set shifting outcomes. Using trial-by-trial neural recordings acquired before task onset during a set shifting paradigm, we quantified patterns of baseline activity and tested their ability to distinguish subsequent successful from unsuccessful shifts. Multivariate decoding analyses revealed that pre-trial perirhinal signals reliably predicted set shifting performance above chance, indicating that outcome-relevant information is present before stimulus processing and overt responding begin. These predictive patterns were strongest on trials requiring a change in task set, and they generalized across sessions, suggesting a stable relationship between preparatory perirhinal states and cognitive flexibility. In addition, variability in pre-trial activity was associated with reaction time and error likelihood, linking preparatory neural dynamics to both accuracy and behavioral efficiency. Together, these findings identify the perirhinal cortex as a contributor to anticipatory neural states that shape executive performance and suggest that trial-to-trial fluctuations in pre-trial activity can be used to decode the success of forthcoming set shifts.","Pattern separation, the process by which overlapping experiences are transformed into distinct neural representations, is essential for episodic memory and flexible behavior. Although hippocampal circuits have long been considered central to this computation, converging evidence suggests that cortical areas also contribute to the storage and retrieval of pattern-separated engrams. Here, we synthesize anatomical, physiological, and systems-level findings to propose a framework for how cortical engrams may support pattern separation across learning and consolidation. We argue that the neocortex does not merely receive a finalized memory trace from the hippocampus, but actively participates in encoding sparse, distributed, and context-specific representations that reduce interference among similar inputs. Mechanistically, such separation may emerge through a combination of feature-selective tuning, inhibitory sculpting, recurrent network dynamics, and experience-dependent synaptic plasticity, enabling cortical ensembles to preserve fine-grained distinctions over time. We further consider how interactions between hippocampus, entorhinal cortex, and sensory association cortices may progressively redistribute and refine these representations during memory stabilization. Finally, we outline experimental strategies, including large-scale calcium imaging, cell-type-specific perturbation, and longitudinal ensemble tracking, that can identify cortical engrams and determine how their structure changes with learning and forgetting."
"Pattern separation enables the formation of distinct memory representations from overlapping experiences and is thought to depend on coordinated processing between the hippocampus and distributed cortical networks. Here, we investigated the temporal dynamics of hippocampal-cortical interactions during pattern separation using intracranial electroencephalography (iEEG) recorded from patients performing a mnemonic discrimination task. Participants encoded and retrieved visually similar and repeated stimuli, allowing us to isolate neural activity associated with successful discrimination of lures from true repetitions. Time-resolved spectral and connectivity analyses revealed that successful pattern separation was marked by early increases in hippocampal theta activity, followed by enhanced gamma-band responses in ventral temporal and lateral prefrontal cortex. Critically, phase-synchronization and directed connectivity measures indicated transient bidirectional coupling between hippocampus and cortex, with stronger hippocampus-to-cortex influences during encoding and greater cortex-to-hippocampus signaling during retrieval. These effects were selectively amplified for trials requiring discrimination of highly similar items and predicted behavioral accuracy across participants. Together, the findings provide direct electrophysiological evidence that pattern separation emerges from dynamic hippocampal-cortical dialogue rather than isolated hippocampal computation, highlighting a temporally structured network mechanism for transforming overlapping inputs into distinct episod","Emotion regulation relies on dynamic interactions between affective signals and higher-order control systems, yet the contribution of the dentate gyrus to bottom-up versus top-down modulation remains poorly understood. Here, we investigated how emotionally salient stimuli and instructed regulatory control differentially shape dentate gyrus activity and its coupling with prefrontal and limbic networks. Using high-resolution functional MRI during an emotion regulation task, participants viewed negative and neutral images under passive viewing and reappraisal conditions while subjective affect was measured trial-by-trial. Bottom-up emotional reactivity was associated with increased dentate gyrus responses to negative stimuli, particularly when regulatory demands were minimal. In contrast, top-down reappraisal selectively attenuated dentate gyrus activity and strengthened functional connectivity with dorsolateral and ventromedial prefrontal regions, suggesting coordinated control over hippocampal pattern separation processes. Individual differences in regulatory success were further predicted by the balance of prefrontal-dentate gyrus coupling and amygdala-dentate gyrus connectivity, indicating that effective emotion regulation depends on both suppressing salience-driven input and enhancing goal-directed modulation. These findings position the dentate gyrus as a convergence site for bottom-up and top-down influences during emotion regulation"
"Mentalizing—the ability to infer the beliefs, intentions, and emotions of others—is typically associated with a distributed cortical network including medial prefrontal, temporoparietal, and superior temporal regions. However, growing evidence suggests that subcortical structures may also contribute to social-cognitive computations. Here, we examine the role of the superior colliculus, a midbrain structure classically implicated in orienting, salience detection, and rapid visuomotor responses, in supporting mentalizing processes. Drawing on convergent behavioral, neuroimaging, developmental, and comparative evidence, we propose that the superior colliculus contributes to mentalizing by prioritizing socially relevant cues, coordinating attention to gaze, facial expression, and biological motion, and interacting with pulvinar, amygdala, and cortical mentalizing systems to shape higher-order inferences about others. We further argue that this subcortical contribution may be especially important under conditions requiring rapid, implicit, or pre-reflective social interpretation, and may provide a phylogenetically conserved scaffold for the later emergence of explicit theory of mind. This framework helps reconcile cortical accounts of mentalizing with findings from early development and clinical populations, including autism spectrum conditions, in which atyp","Acetylcholine is thought to support perceptual learning and memory-guided processing in sensory cortex, yet its role in implicit memory remains incompletely understood. We examined whether pharmacologically induced cholinergic depletion alters implicit memory performance and associated occipital cortex activation. Healthy adults completed a visual priming task under cholinergically reduced and placebo conditions while undergoing functional neuroimaging. Relative to placebo, acetylcholine depletion significantly attenuated priming-related behavioral facilitation, indicating reduced implicit memory expression. This behavioral effect was accompanied by diminished repetition-related modulation in occipital cortex, particularly in extrastriate visual regions implicated in stimulus-specific processing. The magnitude of occipital attenuation correlated with the degree of priming impairment across participants, suggesting a link between sensory cortical reactivity and implicit memory performance. These findings indicate that acetylcholine contributes to implicit memory by supporting experience-dependent changes in visual cortex activity, extending its established role beyond explicit memory and attentional control. More broadly, the results highlight a neuromodulatory mechanism through which cholinergic signaling may facilitate the encoding and retrieval of implicit perceptual representations."
"Executive dysfunction is a common and disabling feature across neurological and psychiatric conditions, yet effective interventions that directly modulate its neural substrates remain limited. The supramarginal gyrus has been increasingly implicated in attentional control, working memory updating, and broader frontoparietal processes that support executive function, suggesting it may represent a promising neurofeedback target. In this study, we tested whether neurofeedback training aimed at increasing supramarginal gyrus activity could improve executive performance in healthy adults. Participants were randomly assigned to active or sham neurofeedback across multiple training sessions while undergoing functional neuroimaging–based feedback. Executive function was assessed before and after training using a battery measuring inhibitory control, cognitive flexibility, and working memory, alongside analyses of task-evoked activity and functional connectivity.

Compared with the sham group, participants receiving active neurofeedback showed a greater increase in supramarginal gyrus activation across sessions and significant post-training improvement on composite measures of executive function, with the strongest effects observed for working memory and set shifting. Neurofeedback-related gains were accompanied by enhanced functional coupling between the supramarginal gyrus and dorsolateral prefrontal as well as anterior cingulate regions, consistent with strengthened engagement of executive control networks","Resting-state functional connectivity has been proposed as a stable neural marker of individual differences in cognition, yet its relationship to decision-making accuracy remains incompletely understood. In the present study, we examined whether intrinsic network organization could predict performance on a decision-making task across individuals. Using resting-state fMRI data and behavioral measures of accuracy, we characterized connectivity within and between canonical large-scale networks and tested their association with task performance. We found that stronger coupling within frontoparietal control regions and more efficient segregation of default mode and salience networks were associated with higher decision-making accuracy, whereas weaker integration among these systems predicted poorer performance. Multivariate models based on resting-state connectivity reliably classified participants according to behavioral accuracy, indicating that intrinsic network architecture contains robust information about decision-making ability. These findings suggest that stable patterns of functional organization at rest reflect the neural capacity supporting accurate choices and highlight resting-state networks as promising biomarkers of individual differences in cognitive performance."
"Acetylcholine has long been implicated in attentional orienting, learning, and hippocampal processing, yet its systems-level contribution to novelty detection in the human brain remains incompletely understood. We used pharmacological functional magnetic resonance imaging (fMRI) to test how cholinergic modulation alters behavioral and neural responses to novel stimuli. In a double-blind, placebo-controlled, within-subject design, healthy adult participants received a cholinergic challenge and placebo on separate sessions while performing a visual novelty oddball task during fMRI. Novel items were contrasted with familiar and target stimuli to isolate novelty-related processing. Relative to placebo, cholinergic enhancement selectively increased blood oxygenation level-dependent responses to novel stimuli in the hippocampus, parahippocampal cortex, anterior cingulate, and frontoparietal attention regions, while reducing repetition-related attenuation in ventral visual cortex. These neural effects were accompanied by faster orienting responses and improved subsequent recognition for novel items. Functional connectivity analyses further revealed strengthened coupling between the hippocampus and basal forebrain/midbrain as well as between medial temporal and prefrontal regions during novelty processing under cholinergic modulation. The magnitude of these effects predicted individual differences in memory benefit.","Mental rotation recruits visuospatial computations that are classically attributed to cortical networks, yet the contribution of subcortical visual relay structures remains poorly understood. Here we tested whether the lateral geniculate nucleus (LGN) exhibits functional specialization during mental rotation, independent of early sensory drive. Using high-resolution functional MRI combined with a parametric mental rotation task, we examined LGN responses as participants judged the orientation of briefly presented stimuli while rotation demand was systematically varied. We observed a robust increase in LGN activity with greater angular disparity, even after controlling for stimulus features, reaction time, and task difficulty. This effect was selective for rotation-relevant trials and was accompanied by increased functional coupling between the LGN and occipito-parietal regions implicated in spatial transformation. Multivariate analyses further revealed that LGN activity patterns encoded rotation magnitude above chance, suggesting that the nucleus carries information about internally generated spatial operations. These findings indicate that the LGN is not merely a passive relay of retinal input but participates in higher-order visuospatial processing, supporting a more distributed view of the neural architecture underlying mental rotation."
"Loss aversion is a central feature of human decision-making, yet the neural states that predispose individuals toward more loss-averse choices before options are even presented remain poorly understood. In this study, we tested whether spontaneous pre-trial activity in the frontopolar cortex contains predictive information about subsequent loss aversion outcomes during risky choice. Participants performed a mixed-gamble decision task while neural activity was recorded, and multivariate decoding analyses were applied to pre-stimulus signals preceding each choice. We found that patterns of frontopolar cortex activity before trial onset reliably distinguished trials that culminated in loss-averse versus less loss-averse decisions, above chance and beyond the influence of reaction time, choice history, and trial-specific value parameters. Time-resolved analyses indicated that this predictive signal emerged prior to option evaluation, suggesting that endogenous frontopolar states bias forthcoming decisions under risk. Functional connectivity analyses further revealed that pre-trial frontopolar activity was associated with coordinated fluctuations in valuation and control-related regions, consistent with a network mechanism through which anticipatory brain states shape sensitivity to potential losses. These findings identify the frontopolar cortex as a source of pre-decisional information about loss aversion outcomes and highlight the importance of ongoing neural dynamics in","Aerobic exercise training has been associated with improvements in mood, stress regulation, and executive function, yet the neural mechanisms supporting these benefits remain incompletely understood. The subgenual cingulate cortex (sgACC), a key node in affective and autonomic regulation, is a plausible target for exercise-induced neuroplasticity because of its sensitivity to both emotional state and intervention-related change. In this study, we examined whether a structured aerobic exercise program alters sgACC structure and functional connectivity in healthy adults. Participants completed a pre- and post-intervention neuroimaging assessment surrounding a 12-week moderate-intensity aerobic training regimen. Resting-state functional MRI and high-resolution structural imaging were used to quantify changes in sgACC connectivity and morphology, and behavioral measures of mood, perceived stress, and cardiorespiratory fitness were collected in parallel. Following training, participants showed increased resting-state coupling between the sgACC and regions implicated in cognitive control and interoceptive regulation, alongside reduced connectivity with limbic regions associated with negative affect. These neural changes were accompanied by improvements in aerobic fitness and self-reported emotional well-being. Exploratory analyses suggested that greater fitness gains were related to larger sgACC connectivity shifts, indicating a dose-dependent pattern of neuro"
"Normal aging is accompanied by changes in auditory cognition, yet the neural mechanisms supporting tonal perception across the adult lifespan remain incompletely understood. In the present study, we examined age-related differences in angular gyrus function during tonal perception using functional neuroimaging in younger and older adults performing pitch-based listening tasks that varied in tonal structure and perceptual demand. Behaviorally, older adults showed reduced accuracy and slower responses, particularly under conditions requiring fine-grained discrimination of tonal relationships. Neurally, tonal perception engaged a distributed frontotemporal-parietal network in both groups, but older adults exhibited significantly altered recruitment of the angular gyrus. Specifically, younger adults showed stronger and more selective angular gyrus responses to well-formed tonal sequences, whereas older adults demonstrated reduced functional specificity and increased coupling between the angular gyrus and frontal control regions. The magnitude of angular gyrus differentiation was positively associated with perceptual performance, while enhanced frontoparietal connectivity in older adults was consistent with compensatory engagement. These findings indicate that aging is associated with a shift in angular gyrus function from efficient tonal integration toward broader, less selective network involvement. The results identify the angular gyrus as a key locus of age-sensitive change in tonal processing and suggest that","Emotion recognition depends on rapid interactions between sensory-driven and goal-directed processes, yet the relative contribution of bottom-up and top-down influences on frontal eye fields (FEF) remains unclear. In this study, we used concurrent behavioral, eye-tracking, and functional neuroimaging measures to examine how FEF activity is modulated during facial emotion recognition under conditions that selectively emphasized perceptual salience or attentional control. Participants judged the emotional expressions of faces presented with either high visual clarity or degraded detail, while task demands were manipulated to vary the need for top-down guidance. We found that FEF responses increased when recognition relied on ambiguous or low-salience cues, particularly for negative emotions, indicating a greater dependence on top-down selection mechanisms. In contrast, salient emotional expressions elicited faster and more accurate responses with reduced FEF engagement, consistent with a stronger bottom-up contribution. Connectivity analyses further showed that FEF coupling with occipito-temporal visual regions was enhanced during bottom-up-driven trials, whereas coupling with prefrontal control regions was stronger when task demands required top-down modulation. These findings suggest that FEF does not simply reflect oculomotor planning during emotion recognition but instead integrates bottom-up sensory evidence and top-down attentional control"
"Attention control varies substantially across individuals, yet the intrinsic neural architecture that supports this variability remains incompletely understood. In the present study, we tested whether resting-state functional connectivity of the inferior frontal gyrus (IFG), a core region implicated in inhibitory control and goal-directed attention, predicts individual differences in attention control performance. Resting-state fMRI data were acquired from healthy adults and used to estimate whole-brain connectivity patterns of bilateral IFG seeds. Participants also completed behavioral measures indexing selective attention, interference resolution, and sustained attentional control. Using brain–behavior modeling, we examined whether intrinsic IFG connectivity explained variance in attention control beyond demographic and motion-related factors. Stronger connectivity between the IFG and nodes of the frontoparietal control network, including dorsolateral prefrontal and inferior parietal regions, was associated with better attention control, whereas increased coupling with default mode and limbic regions predicted poorer performance. These associations were robust across complementary analytic approaches and remained significant after controlling for general processing speed and working memory. The findings indicate that spontaneous IFG network organization at rest carries behaviorally relevant information about attentional regulation and suggest that IFG-centered connectivity may serve as a biomarker of attentional control capacity. More","Semantic processing relies on distributed cortical systems coordinated by long-range white matter pathways, yet the structural architecture supporting this function remains incompletely characterized. We used diffusion MRI tractography to investigate the association pathways underlying semantic processing in a healthy adult cohort. Participants completed a semantic judgment task alongside a control condition, and individual differences in performance were related to tract-specific microstructural properties and connectivity profiles. Probabilistic tractography reconstructed major left-hemisphere language and semantic tracts, including the arcuate fasciculus, inferior fronto-occipital fasciculus, uncinate fasciculus, and inferior longitudinal fasciculus. Semantic performance was most strongly associated with the integrity of ventral pathways linking anterior temporal, inferior frontal, and occipitotemporal regions, with additional contributions from dorsal frontoparietal connections. In contrast, control task performance showed weaker and more diffuse relationships with white matter measures. These findings support a network-based account of semantic cognition in which ventral association fibers provide a critical structural substrate for integrating conceptual representations across distributed cortical hubs. More broadly, the results highlight the value of tractography for delineating the white matter infrastructure of higher-order language functions and for identifying pathway-specific contributions to semantic efficiency."
"Metacognition—the ability to monitor and evaluate one’s own cognitive processes—is typically studied with functional neuroimaging methods that capture rapid neural activity, whereas the contribution of brain structure to its temporal dynamics remains poorly understood. Here, we investigated whether interindividual variation in structural MRI measures predicts time-resolved signatures of metacognitive performance during perceptual decision-making. Participants completed a confidence-based task that enabled trial-by-trial estimation of metacognitive sensitivity and bias across successive processing stages, while high-resolution structural MRI was used to quantify regional cortical thickness, surface area, and gray-matter volume. Using multivariate modeling, we tested whether structural variation in prefrontal, parietal, and cingulo-opercular regions accounted for early versus late components of metacognitive evaluation. Structural differences in anterior prefrontal cortex, dorsal anterior cingulate, and inferior parietal cortex selectively predicted distinct temporal profiles of metacognitive accuracy, with anterior prefrontal morphology most strongly associated with later evaluative stages and cingulo-parietal structure linked to earlier confidence formation. These relationships were robust after controlling for task performance, response time, and global brain measures, and generalized across complementary indices of metacognitive efficiency. Our","Pattern separation—the transformation of similar inputs into more distinct neural representations—is a core computation supporting perception, memory, and flexible behavior, yet its circuit implementation in thalamic association nuclei remains poorly understood. Here we present microcircuit models of the pulvinar that identify candidate synaptic and cellular mechanisms capable of amplifying representational distance among overlapping cortical inputs. Using a biologically constrained spiking framework, we examined how feedforward excitation, local inhibitory motifs, and cortico-thalamic feedback interact to shape population responses under varying levels of input similarity and noise. The models show that pulvinar circuits can implement pattern separation through divisive normalization, sparse competition, and state-dependent gain control, with the strongest effects emerging when inhibitory interneuron dynamics are tuned to intermediate timescales and recurrent drive is balanced against thalamic relay gain. In addition, corticothalamic feedback selectively stabilizes separated representations, improving robustness without eliminating sensitivity to novel inputs. Model-derived predictions suggest that disruption of inhibitory balance or synaptic heterogeneity reduces separation efficiency, whereas structured heterogeneity across relay cells enhances it. These findings offer a mechanistic account of how the pulvinar may contribute to decorrelating cortical activity and support the view that thalamic microcircuits"
"Pain perception emerges from distributed interactions among sensory, affective, and associative brain systems, yet the mesoscopic dynamics of the anterior temporal lobe (ATL) during nociceptive processing remain poorly understood. Here, we used two-photon calcium imaging to measure population activity in the ATL during controlled pain perception in awake, head-fixed subjects. By combining cellular-resolution imaging with precisely timed noxious and non-noxious somatosensory stimulation, we characterized stimulus-evoked responses across neuronal ensembles and tested how ATL activity tracked pain intensity and behavioral state. Noxious stimulation elicited robust, temporally structured responses in distinct ATL subpopulations, whereas innocuous stimuli recruited weaker and less spatially coherent activity. Population decoding analyses revealed that ATL ensemble activity reliably discriminated painful from non-painful stimuli and predicted trial-by-trial variations in perceived intensity-related behavior. In addition, pain-evoked responses were modulated by arousal and recent stimulus history, indicating that ATL representations integrate nociceptive input with contextual information. Functional clustering identified heterogeneous neuronal classes, including cells selectively responsive to noxious events, broadly tuned cells responsive across stimulus categories, and neurons suppressed during pain episodes. These findings demonstrate","Neural variability has emerged as a promising marker of brain function, yet its role in memory consolidation remains poorly understood. Here, we examined whether trial-to-trial fluctuations in neural activity predict individual differences in consolidation performance following initial learning. Using multimodal neuroimaging and a delayed recall paradigm, we quantified variability in task-relevant cortical and hippocampal signals during encoding and early post-encoding rest, and related these measures to subsequent memory retention after 24 hours. Greater neural variability during encoding was associated with stronger consolidation, particularly in medial temporal and frontoparietal regions implicated in episodic binding and attentional control. In contrast, elevated variability during post-encoding rest showed a non-linear relationship with performance, suggesting that moderate variability may reflect an optimal state for offline memory stabilization. Connectivity analyses further indicated that individuals with better consolidation exhibited more flexible interactions between hippocampal and neocortical networks. These findings support the view that neural variability is not merely noise, but a functional feature of brain dynamics that indexes the efficiency of memory consolidation. More broadly, the results highlight variability as a potential biomarker for identifying individuals who are likely to benefit from interventions targeting learning and memory."
"Sequence learning has traditionally been ascribed to cortical, hippocampal, and basal ganglia circuits, yet growing evidence suggests that the hypothalamus may also encode temporally structured regularities relevant to homeostatic control and adaptive behaviour. Here, we present a computational modelling framework that examines how hypothalamic microcircuits could acquire, represent, and predict sequential structure in physiologically salient inputs. We developed a recurrent neural population model constrained by known hypothalamic architecture, incorporating heterogeneous excitatory and inhibitory units, neuromodulatory gain control, and plasticity rules sensitive to both temporal contiguity and metabolic state. The model was trained on sequences with varying statistical complexity and tested for its ability to learn transition probabilities, detect violations, and generalize across contexts associated with distinct internal states.

Simulations showed that the model acquired robust sequence representations under biologically plausible parameter regimes, with learning strongly modulated by state-dependent signals analogous to hormonal and autonomic feedback. Distinct subnetworks emerged for short-timescale transition encoding and longer-timescale contextual integration, enabling the system to predict upcoming events and signal surprise when expected patterns were violated. Compared with control architectures lacking state-gated plasticity or recurrent coupling, the hypothalamic model exhibited superior","Syntactic processing has traditionally been studied as a domain-specific language function, yet converging evidence suggests that it may depend on domain-general learning mechanisms that update predictions over time. Here we examined whether reinforcement learning signals are expressed in the subgenual cingulate during sentence comprehension, a region classically implicated in affective valuation and outcome monitoring. Participants read sentences containing temporary syntactic ambiguities while undergoing fMRI, and trial-by-trial computational models estimated prediction error and expected uncertainty based on individual parsing behavior. We found that activity in the subgenual cingulate tracked signed prediction errors during syntactic revision, with stronger responses for unexpected grammatical continuations that required reanalysis. This signal was distinct from general task difficulty, lexical frequency, and sentence plausibility, and it was not explained by neighboring medial prefrontal or anterior cingulate responses. Moreover, the magnitude of subgenual prediction-error encoding predicted subsequent adaptation to the local syntactic environment, suggesting a role in updating parsing policies rather than reflecting passive conflict detection. These findings indicate that reinforcement learning computations contribute to online syntactic processing and extend the functional repertoire of the subgenual cingulate beyond affective regulation to include language-guided action selection."
